title,year,month,url,keyword
"Kim and Trump Back at Square 1: If U.S. Keeps Sanctions, North Will Keep Nuclear Program",2019,01,https://www.nytimes.com/2019/01/01/world/asia/kim-trump-nuclear.html,"North Korea, Nuclear Weapons, ARMS CONTROL AND LIMITATION AND DISARMAMENT, United States International Relations, Embargoes and Sanctions, United States Defense and Military Forces, Korean War, Kim Jong-un, Trump, Donald J, United States, South Korea, Moon Jae-in"
U.S. Agents Fire Tear Gas Across Mexican Border,2019,01,https://www.nytimes.com/2019/01/01/world/americas/migrants-border-tear-gas.html,"Illegal Immigration, Border Barriers, Tear Gas, Customs and Border Protection (US), Homeland Security Department, Mexico, United States, Tijuana (Mexico)"
"Jair Bolsonaro Sworn In as Brazil�s President, Cementing Rightward Shift",2019,01,https://www.nytimes.com/2019/01/01/world/americas/brazil-bolsonaro-inauguration.html,"Brazil, Bolsonaro, Jair (1955- ), Politics and Government, Inaugurations, Defense and Military Forces, Economic Conditions and Trends, Moro, Sergio (1972- )"
"In Newly Divided Government, Who Will Control the Political Agenda?",2019,01,https://www.nytimes.com/2019/01/01/us/politics/house-democrats-trump-wall-immigration.html,"United States Politics and Government, Illegal Immigration, Immigration and Emigration, Shutdowns (Institutional), Border Barriers, Dream Act (Development, Relief and Education for Minors Act), Deferred Action for Childhood Arrivals"
"Quotation of the Day: A Family Seeks Asylum, Battling Back After Zealots Attack",2019,01,https://www.nytimes.com/2019/01/01/todayspaper/quotation-of-the-day-a-family-seeks-asylum-battling-back-after-zealots-attack.html,
Which Fork Is Which?,2019,01,https://www.nytimes.com/2019/01/01/crosswords/daily-puzzle-2019-01-02.html,Crossword Puzzles
"As His Parting Gift, Urban Meyer Gives Ohio State a Rose Bowl Victory",2019,01,https://www.nytimes.com/2019/01/01/sports/urban-meyer-ohio-state-rose-bowl.html,"Football (College), Rose Bowl (Football Game), Coaches and Managers, Ohio State University, University of Washington, Meyer, Urban, Haskins, Dwayne (1997- )"
"At Inauguration, Cuomo Rallies State Against Trump",2019,01,https://www.nytimes.com/2019/01/01/nyregion/cuomo-ellis-island-inauguration-trump.html,"Inaugurations, Speeches and Statements, Immigration and Emigration, United States Politics and Government, Cuomo, Andrew M, Ellis Island (NYC), New York State, Trump, Donald J"
Mitt Romney Says Trump �Has Not Risen to the Mantle of the Office�,2019,01,https://www.nytimes.com/2019/01/01/us/politics/romney-trump-oped.html,"Romney, Mitt, Trump, Donald J, Presidential Election of 2020, Senate, Republican Party, United States Politics and Government, Primaries and Caucuses"
Xi Jinping Warns Taiwan That Unification Is the Goal and Force Is an Option,2019,01,https://www.nytimes.com/2019/01/01/world/asia/xi-jinping-taiwan-china.html,"China, Taiwan, Xi Jinping, Tsai Ing-wen, Politics and Government, United States International Relations, Democratic Progressive Party (Taiwan), International Relations"
"No Corrections: January 2, 2019",2019,01,https://www.nytimes.com/2019/01/02/pageoneplus/no-corrections-january-2-2019.html,
What�s on TV Wednesday: �grown-ish� and �Atlanta�,2019,01,https://www.nytimes.com/2019/01/02/arts/television/whats-on-tv-wednesday-grown-ish-and-atlanta.html,"Television, Movies"
Word + Quiz: agog,2019,01,https://www.nytimes.com/2019/01/02/learning/02WODLN.html,
Learning With: �NASA�s New Horizons Spacecraft Is Triumphant in Encounter With the Most Distant Object Ever Visited�,2019,01,https://www.nytimes.com/2019/01/02/learning/learning-with-nasas-new-horizons-spacecraft-is-triumphant-in-encounter-with-the-most-distant-object-ever-visited.html,
Intimate Photos of Community and Resilience in New York�s Chinatown in the 1980s,2019,01,https://www.nytimes.com/2019/01/02/lens/new-york-chinatown-1980s-bud-glick.html,"Chinese-Americans, Photography, Chinatown (Manhattan, NY), Politics and Government, Foreign Workers, Immigration and Emigration, Museum of Chinese in America, your-feed-onlyinnewyork"
"The Good, the Bad and �Black Panther�",2019,01,https://www.nytimes.com/2019/01/02/arts/oscars-movies-best-of-2108-black-panther.html,"Movies, Blacks, Black People, Bertolucci, Bernardo, Bullock, Sandra, Coogler, Ryan, Jordan, Michael B, Avengers: Infinity War (Movie), BlacKkKlansman (Movie), Black Panther (Movie), Last Tango in Paris (Movie), Support the Girls (Movie), The Favourite (Movie)"
How Chadwick Boseman Embodies Black Male Dignity,2019,01,https://www.nytimes.com/2019/01/02/movies/chadwick-boseman-black-panther.html,"Movies, Boseman, Chadwick, Black Panther (Movie), 42 (Movie)"
He Thought He Just Had the Flu at First. Then His Heart Could Barely Pump.,2019,01,https://www.nytimes.com/2019/01/02/magazine/the-disease-should-have-dried-him-out-yet-his-body-was-producing-liter-after-liter-of-excess-fluid-why.html,"Heart, Sjogren's Syndrome, Lungs, Autoimmune Diseases"
Hakeem Jeffries Doesn�t Want to Be Called the Next Obama,2019,01,https://www.nytimes.com/2019/01/02/magazine/hakeem-jeffries-doesnt-want-to-be-called-the-next-obama.html,"United States Politics and Government, Elections, House of Representatives, Democratic Party, Jeffries, Hakeem, Crown Heights (Brooklyn, NY)"
"Stand More, Lounge Less? Don�t Do It to Lose Weight",2019,01,https://www.nytimes.com/2019/01/02/well/move/stand-more-lounge-less-dont-do-it-to-lose-weight.html,"Exercise, Calories, Weight, Obesity"
Harry Reid Has a Few Words for Washington,2019,01,https://www.nytimes.com/2019/01/02/magazine/harry-reid-senate-cancer-trump.html,"Reid, Harry, United States Politics and Government, Senate, Trump, Donald J"
Have You Set Any New Year�s Resolutions?,2019,01,https://www.nytimes.com/2019/01/02/learning/have-you-set-any-new-years-resolutions.html,
"As Pelosi Takes Over, an Attempt to Revive the �Lost Art� of Legislating ",2019,01,https://www.nytimes.com/2019/01/02/upshot/will-pelosi-open-the-floor-to-bipartisan-ideas.html,"United States Politics and Government, Pelosi, Nancy, Law and Legislation, House of Representatives, House Committee on Rules"
Was I Wrong to Facebook-Friend My Nephew�s Girlfriend?,2019,01,https://www.nytimes.com/2019/01/02/magazine/was-i-wrong-to-facebook-friend-my-nephews-girlfriend.html,"Ethics (Personal), Social Media, Divorce, Separations and Annulments, Crowdfunding (Internet)"
The PATH Train Loses $400 Million a Year. Why Keep Spending Billions on It?,2019,01,https://www.nytimes.com/2019/01/02/nyregion/path-train-nj-nyc.html,"Port Authority Trans-Hudson (PATH), Port Authority of New York and New Jersey, Commuting, Stations and Terminals (Passenger), Budgets and Budgeting, New Jersey, New York City"
What Could Be Wrong With a Little �Moral Clarity�?,2019,01,https://www.nytimes.com/2019/01/02/magazine/what-could-be-wrong-with-a-little-moral-clarity.html,"Bennett, William J, Ocasio-Cortez, Alexandria, Iraq War (2003-11), United States International Relations"
Five Ways Elizabeth Warren (and Other 2020 Hopefuls) Will Campaign When There�s No Campaign Yet,2019,01,https://www.nytimes.com/2019/01/02/us/politics/elizabeth-warren-2020-candidates.html,"Presidential Election of 2020, Warren, Elizabeth, Iowa, Biden, Joseph R Jr, Primaries and Caucuses, Campaign Finance, United States Politics and Government, Booker, Cory A, Harris, Kamala D"
How the Dispute Over Runaway Slaves Helped Fuel the Civil War,2019,01,https://www.nytimes.com/2019/01/02/books/review/andrew-delbanco-war-before-the-war.html,"Books and Literature, Civil War (US) (1861-65), Slavery (Historical), Fugitives, Constitution (US), Delbanco, Andrew, The War Before the War: Fugitive Slaves and the Struggle for America's Soul from the Revolution to the Civil War (Book)"
